productId,title,category,matched_keyword,forecast_score
P1249,Cropped High-waisted Sandals,sandals,spring,3.06
P1006,Trendy Winter Jumpsuit,jumpsuit,spring,3.06
P1008,Cotton Slim Fit Skirt,skirt,spring,3.06
P1011,New Spring Sandals,sandals,spring,3.06
P1015,Cotton Fitted Tank Top,tank top,spring,3.06
P1244,Oversized Wool Sandals,sandals,spring,3.06
P1240,Fall Wool Slides,slides,spring,3.06
P1235,Striped Spring Bomber Jacket,bomber jacket,spring,3.06
P1233,Tall Spring Leggings,leggings,spring,3.06
P1067,Organic Black Bomber Jacket,bomber jacket,spring,3.06
P1047,Fall Spring Sneakers,sneakers,spring,3.06
P1042,Solid Women Trench Coat,trench coat,spring,3.06
P1032,Fall Spring Heels,heels,spring,3.06
P1568,Winter Spring Coat,coat,spring,3.06
P1283,Spring Plus Size Cardigan,cardigan,spring,3.06
P1273,Spring Loose Loafer,loafer,spring,3.06
P1261,Denim Plaid Parka,parka,spring,3.06
P1255,Plus Size Striped Coat,coat,spring,3.06
P1542,Spring Winter Sweater,sweater,spring,3.06
P1535,Leather Organic Flats,flats,spring,3.06
P1527,Spring Beige Sneakers,sneakers,spring,3.06
P1526,Plus Size Spring Cardigan,cardigan,spring,3.06
P1511,Longline High-waisted Romper,romper,spring,3.06
P1487,Spring High-waisted Jumpsuit,jumpsuit,spring,3.06
P1484,Summer Oversized Skirt,skirt,spring,3.06
P1482,Spring Women Tank Top,tank top,spring,3.06
P1470,Organic Spring Boots,boots,spring,3.06
P1458,Spring Wool Romper,romper,spring,3.06
P1448,Summer Leather Coat,coat,spring,3.06
P1671,Cropped Vintage Flats,flats,spring,3.06
P1426,Striped Navy Sweater,sweater,spring,3.06
P1425,Slim Fit Vintage Jumpsuit,jumpsuit,spring,3.06
P1396,Solid Striped Loafer,loafer,spring,3.06
P1393,Spring Printed Pants,pants,spring,3.06
P1632,Black Sleeveless Skirt,skirt,spring,3.06
P1627,Organic New Trench Coat,trench coat,spring,3.06
P1622,Navy Summer Boots,boots,spring,3.06
P1621,Spring Printed Pullover,pullover,spring,3.06
P1617,Plaid Spring Coat,coat,spring,3.06
P1614,Men Wool Parka,parka,spring,3.06
P1606,Fitted Leather Jumpsuit,jumpsuit,spring,3.06
P1583,Printed Printed T-shirt,t-shirt,spring,3.06
P1577,Spring Low-rise Hoodie,hoodie,spring,3.06
P1574,Vintage Mid-rise Skirt,skirt,spring,3.06
P1571,Navy Low-rise Sweater,sweater,spring,3.06
P1783,Cotton Women Jeans,jeans,spring,3.06
P1566,New Spring Crop Top,crop top,spring,3.06
P1552,Men Floral Jacket,jacket,spring,3.06
P1546,Striped Cotton Romper,romper,spring,3.06
P1544,Spring Sleeveless Crop Top,crop top,spring,3.06
P1750,Leather Longline Crop Top,crop top,spring,3.06
P1744,Spring Trendy Crop Top,crop top,spring,3.06
P1741,Printed New Jumpsuit,jumpsuit,spring,3.06
P1734,Solid Spring Bomber Jacket,bomber jacket,spring,3.06
P1724,Plaid Oversized Crop Top,crop top,spring,3.06
P1712,Trendy High-waisted Trench Coat,trench coat,spring,3.06
P1706,Men Spring Skirt,skirt,spring,3.06
P1705,Navy Trendy T-shirt,t-shirt,spring,3.06
P1687,Winter Black Coat,coat,spring,3.06
P1680,Spring White Jumpsuit,jumpsuit,spring,3.06
P1675,Slim Fit Oversized Romper,romper,spring,3.06
P1911,Beige Spring Tank Top,tank top,spring,3.06
P1670,Striped Spring Hoodie,hoodie,spring,3.06
P1669,Vintage Spring Pullover,pullover,spring,3.06
P1660,Striped Leather Skirt,skirt,spring,3.06
P1637,Denim Spring Coat,coat,spring,3.06
P1825,Slim Fit Spring T-shirt,t-shirt,spring,3.06
P1823,Leather Cropped Parka,parka,spring,3.06
P1815,White Summer Dress,dress,spring,3.06
P1813,Navy Spring Windbreaker,windbreaker,spring,3.06
P1807,Trendy Wool Sandals,sandals,spring,3.06
P1806,Spring Mid-rise Skirt,skirt,spring,3.06
P1800,Spring Vintage Romper,romper,spring,3.06
P1798,Denim Spring Loafer,loafer,spring,3.06
P1796,New High-waisted Hoodie,hoodie,spring,3.06
P1795,Cotton Floral Sweater,sweater,spring,3.06
P1792,Linen Spring Coat,coat,spring,3.06
P2097,Loose New Leggings,leggings,spring,3.06
P1779,Denim Linen Pullover,pullover,spring,3.06
P1777,New Sleeveless Trench Coat,trench coat,spring,3.06
P1756,Spring Vintage Loafer,loafer,spring,3.06
P1753,Spring Plaid Skirt,skirt,spring,3.06
P2022,Low-rise Spring Hoodie,hoodie,spring,3.06
P2020,Cotton Loose T-shirt,t-shirt,spring,3.06
P2007,Olive Spring Shirt,shirt,spring,3.06
P2000,Fall Floral Leggings,leggings,spring,3.06
P1971,Spring Summer Coat,coat,spring,3.06
P1964,Unisex Spring Leggings,leggings,spring,3.06
P1959,Spring Cotton Shirt,shirt,spring,3.06
P1951,Women Olive Crop Top,crop top,spring,3.06
P1949,Denim Linen Trench Coat,trench coat,spring,3.06
P1941,Trendy Wool Trench Coat,trench coat,spring,3.06
P1918,Fall Slim Fit Heels,heels,spring,3.06
P2329,Trendy Sleeveless Sweater,sweater,spring,3.06
P1904,Spring Men Cardigan,cardigan,spring,3.06
P1869,Beige Unisex Dress,dress,spring,3.06
P1850,Spring Spring Pants,pants,spring,3.06
P1826,New Spring Romper,romper,spring,3.06
P2246,Spring Loose Sweater,sweater,spring,3.06
P2211,Minimalist Spring Sweater,sweater,spring,3.06
P2199,Plus Size Spring Pants,pants,spring,3.06
P2191,Solid Olive Heels,heels,spring,3.06
P2155,Spring Loose Blouse,blouse,spring,3.06
P2154,Spring High-waisted Shirt,shirt,spring,3.06
P2146,Beige Low-rise Sneakers,sneakers,spring,3.06
P2133,Beige Spring Slides,slides,spring,3.06
P2128,Longline Beige Hoodie,hoodie,spring,3.06
P2112,Spring Olive Windbreaker,windbreaker,spring,3.06
P2099,Floral Solid Loafer,loafer,spring,3.06
P2453,Beige Floral Sandals,sandals,spring,3.06
P2067,Loose Spring Heels,heels,spring,3.06
P2056,Cropped Black Parka,parka,spring,3.06
P2044,Fitted Floral Blouse,blouse,spring,3.06
P2031,Sleeveless High-waisted Slides,slides,spring,3.06
P2403,Spring Solid Bomber Jacket,bomber jacket,spring,3.06
P2396,Tall Summer Shorts,shorts,spring,3.06
P2394,Spring Vintage Romper,romper,spring,3.06
P2381,Oversized Floral Flats,flats,spring,3.06
P2371,Solid Mid-rise Boots,boots,spring,3.06
P2365,Organic Longline T-shirt,t-shirt,spring,3.06
P2362,Spring Navy Windbreaker,windbreaker,spring,3.06
P2359,Tall Longline Bomber Jacket,bomber jacket,spring,3.06
P2357,Beige New Shorts,shorts,spring,3.06
P2356,Spring Fall Jeans,jeans,spring,3.06
P2343,Oversized Women Shirt,shirt,spring,3.06
P2556,Minimalist Minimalist Jacket,jacket,spring,3.06
P2319,Striped Floral Slides,slides,spring,3.06
P2314,Spring Women Tank Top,tank top,spring,3.06
P2288,Fall Spring Trench Coat,trench coat,spring,3.06
P2278,Spring Summer Pullover,pullover,spring,3.06
P2522,Slim Fit Cotton Slides,slides,spring,3.06
P2501,Spring Slim Fit Flats,flats,spring,3.06
P2498,Oversized New Windbreaker,windbreaker,spring,3.06
P2494,Spring Minimalist Heels,heels,spring,3.06
P2485,Plus Size Spring Sandals,sandals,spring,3.06
P2484,Striped Unisex Cardigan,cardigan,spring,3.06
P2476,Tall Spring Shirt,shirt,spring,3.06
P2471,Solid Black Shirt,shirt,spring,3.06
P2467,Leather New Pullover,pullover,spring,3.06
P2464,Spring Beige Parka,parka,spring,3.06
P2454,Minimalist White Trench Coat,trench coat,spring,3.06
P2687,White Spring Dress,dress,spring,3.06
P2442,Trendy Spring Trench Coat,trench coat,spring,3.06
P2435,Spring Longline Crop Top,crop top,spring,3.06
P2423,Summer Spring Pullover,pullover,spring,3.06
P2404,Mid-rise Fall Crop Top,crop top,spring,3.06
P2663,Spring Unisex Skirt,skirt,spring,3.06
P2661,Petite Spring Romper,romper,spring,3.06
P2647,Mid-rise White Blouse,blouse,spring,3.06
P2646,Women High-waisted Loafer,loafer,spring,3.06
P2638,Spring Black Shirt,shirt,spring,3.06
P2629,Organic Spring Pants,pants,spring,3.06
P2618,Leather Minimalist Blouse,blouse,spring,3.06
P2596,Spring Striped Trench Coat,trench coat,spring,3.06
P2589,Navy Olive Blouse,blouse,spring,3.06
P2578,Spring Men Heels,heels,spring,3.06
P2577,Fitted Plaid Hoodie,hoodie,spring,3.06
P2862,Spring Striped T-shirt,t-shirt,spring,3.06
P2555,Trendy Summer Romper,romper,spring,3.06
P2552,Spring Fall Jumpsuit,jumpsuit,spring,3.06
P2532,Spring Organic Cardigan,cardigan,spring,3.06
P2525,Cropped Printed Blouse,blouse,spring,3.06
P2807,Spring Slim Fit Slides,slides,spring,3.06
P2805,Men Oversized Pullover,pullover,spring,3.06
P2790,Unisex Spring Flats,flats,spring,3.06
P2787,Spring Men Sandals,sandals,spring,3.06
P2770,Spring Men Windbreaker,windbreaker,spring,3.06
P2756,Spring Longline Sandals,sandals,spring,3.06
P2751,Vintage Denim Shirt,shirt,spring,3.06
P2747,Sleeveless White Crop Top,crop top,spring,3.06
P2735,Black Summer Jeans,jeans,spring,3.06
P2698,Striped Spring Skirt,skirt,spring,3.06
P2688,Unisex Longline Pullover,pullover,spring,3.06
P2969,Plaid Black Romper,romper,spring,3.06
P2681,Minimalist Spring Jumpsuit,jumpsuit,spring,3.06
P2674,Black Linen Leggings,leggings,spring,3.06
P2672,New New Bomber Jacket,bomber jacket,spring,3.06
P2670,Beige Solid Cardigan,cardigan,spring,3.06
P2919,Petite Spring Jacket,jacket,spring,3.06
P2916,Solid Low-rise Cardigan,cardigan,spring,3.06
P2907,Spring Navy Heels,heels,spring,3.06
P2906,Leather Mid-rise Parka,parka,spring,3.06
P2905,Spring Fall Slides,slides,spring,3.06
P2903,Spring Petite Shirt,shirt,spring,3.06
P2899,Spring Men Skirt,skirt,spring,3.06
P2881,Men Spring Windbreaker,windbreaker,spring,3.06
P2872,Spring Loose Cardigan,cardigan,spring,3.06
P2867,Unisex High-waisted Pullover,pullover,spring,3.06
P2866,Olive Spring Windbreaker,windbreaker,spring,3.06
P3135,Women Floral Loafer,loafer,spring,3.06
P2857,Cotton Cotton Tank Top,tank top,spring,3.06
P2855,Fitted High-waisted Heels,heels,spring,3.06
P2849,Low-rise Unisex Leggings,leggings,spring,3.06
P2821,Unisex Plaid Pullover,pullover,spring,3.06
P3109,Spring White Cardigan,cardigan,spring,3.06
P3077,Spring Unisex Jacket,jacket,spring,3.06
P3065,Spring Sleeveless Heels,heels,spring,3.06
P3056,Trendy Spring Sweater,sweater,spring,3.06
P3054,Tall Spring Jeans,jeans,spring,3.06
P3048,Men Spring Loafer,loafer,spring,3.06
P3026,Cropped Black Boots,boots,spring,3.06
P3024,Men Petite T-shirt,t-shirt,spring,3.06
P3005,Leather Cotton Jeans,jeans,spring,3.06
P2995,Tall Solid Sweater,sweater,spring,3.06
P2978,Spring Striped Sneakers,sneakers,spring,3.06
P3318,Vintage Spring Shirt,shirt,spring,3.06
P2967,Vintage Cotton Sandals,sandals,spring,3.06
P2964,Spring Fall Skirt,skirt,spring,3.06
P2928,Low-rise Spring Sweater,sweater,spring,3.06
P2924,Fall Minimalist Bomber Jacket,bomber jacket,spring,3.06
P3223,Cotton Beige Tank Top,tank top,spring,3.06
P3216,Spring Oversized Jumpsuit,jumpsuit,spring,3.06
P3193,Spring Solid Heels,heels,spring,3.06
P3192,Petite Mid-rise Boots,boots,spring,3.06
P3185,Trendy Spring Leggings,leggings,spring,3.06
P3178,Spring Low-rise Shorts,shorts,spring,3.06
P3176,Leather Wool Cardigan,cardigan,spring,3.06
P3170,Plaid Spring T-shirt,t-shirt,spring,3.06
P3163,Printed Tall Shorts,shorts,spring,3.06
P3154,Spring Cotton Flats,flats,spring,3.06
P3152,Trendy Oversized Tank Top,tank top,spring,3.06
P3456,Spring Vintage Skirt,skirt,spring,3.06
P3129,Minimalist Trendy Boots,boots,spring,3.06
P3118,Striped Spring Tank Top,tank top,spring,3.06
P3116,Spring Floral Leggings,leggings,spring,3.06
P3113,Denim Spring Slides,slides,spring,3.06
P3410,Women Spring Jacket,jacket,spring,3.06
P3402,Spring Fall Sweater,sweater,spring,3.06
P3382,Plaid Spring Dress,dress,spring,3.06
P3380,Denim Leather Cardigan,cardigan,spring,3.06
P3370,Low-rise Mid-rise Loafer,loafer,spring,3.06
P3362,Men Spring Leggings,leggings,spring,3.06
P3346,Spring Plus Size Loafer,loafer,spring,3.06
P3345,Minimalist Spring Jacket,jacket,spring,3.06
P3337,Spring Wool Crop Top,crop top,spring,3.06
P3335,Women Mid-rise Crop Top,crop top,spring,3.06
P3334,New Slim Fit Blouse,blouse,spring,3.06
P3564,Linen Winter Crop Top,crop top,spring,3.06
P3307,Wool Leather Blouse,blouse,spring,3.06
P3298,Spring Loose Coat,coat,spring,3.06
P3291,Minimalist Printed Cardigan,cardigan,spring,3.06
P3267,Floral Spring Sandals,sandals,spring,3.06
P3521,Petite Spring Sandals,sandals,spring,3.06
P3515,Petite Spring Sneakers,sneakers,spring,3.06
P3504,Fall Spring Bomber Jacket,bomber jacket,spring,3.06
P3496,Cropped Unisex T-shirt,t-shirt,spring,3.06
P3492,Trendy Slim Fit Tank Top,tank top,spring,3.06
P3481,White Winter Sneakers,sneakers,spring,3.06
P3480,Solid Spring Blouse,blouse,spring,3.06
P3477,Tall Trendy Sneakers,sneakers,spring,3.06
P3469,Men Beige Slides,slides,spring,3.06
P3467,Longline Sleeveless Skirt,skirt,spring,3.06
P3460,Spring Loose Flats,flats,spring,3.06
P3700,Black Black Heels,heels,spring,3.06
P3454,Mid-rise Spring Romper,romper,spring,3.06
P3452,Loose Cotton Jacket,jacket,spring,3.06
P3431,Spring Mid-rise Trench Coat,trench coat,spring,3.06
P3423,Petite Cropped T-shirt,t-shirt,spring,3.06
P3672,Spring Beige Loafer,loafer,spring,3.06
P3670,Wool White Parka,parka,spring,3.06
P3633,Loose Floral Leggings,leggings,spring,3.06
P3631,Summer Sleeveless Coat,coat,spring,3.06
P3615,Spring Fall Heels,heels,spring,3.06
P3591,Men Cropped Flats,flats,spring,3.06
P3589,Tall Denim Blouse,blouse,spring,3.06
P3587,Oversized Linen Trench Coat,trench coat,spring,3.06
P3578,Wool Men Pants,pants,spring,3.06
P3577,Winter Oversized Sandals,sandals,spring,3.06
P3573,Fall Spring Jacket,jacket,spring,3.06
P3848,Organic Minimalist Crop Top,crop top,spring,3.06
P3553,Leather Denim Windbreaker,windbreaker,spring,3.06
P3546,Spring Leather Tank Top,tank top,spring,3.06
P3528,Organic Wool Tank Top,tank top,spring,3.06
P3526,Men Floral Parka,parka,spring,3.06
P3784,Tall Spring Pants,pants,spring,3.06
P3781,Unisex Trendy Skirt,skirt,spring,3.06
P3772,Spring Wool Pants,pants,spring,3.06
P3767,Longline Spring Pullover,pullover,spring,3.06
P3765,Spring Mid-rise Bomber Jacket,bomber jacket,spring,3.06
P3745,White Solid Tank Top,tank top,spring,3.06
P3744,Navy Spring Boots,boots,spring,3.06
P3741,Sleeveless Wool Shorts,shorts,spring,3.06
P3734,Low-rise Longline Pants,pants,spring,3.06
P3726,Spring Mid-rise Loafer,loafer,spring,3.06
P3705,Loose Spring Jumpsuit,jumpsuit,spring,3.06
P3997,Spring Sleeveless Coat,coat,spring,3.06
P3689,Leather Fall Skirt,skirt,spring,3.06
P3688,Leather Organic Hoodie,hoodie,spring,3.06
P3685,Floral Black Romper,romper,spring,3.06
P3674,Wool Cotton Skirt,skirt,spring,3.06
P3967,Spring High-waisted Loafer,loafer,spring,3.06
P3961,Cropped Men Windbreaker,windbreaker,spring,3.06
P3954,Winter Spring Dress,dress,spring,3.06
P3952,Summer Spring Jumpsuit,jumpsuit,spring,3.06
P3938,Oversized Spring Shorts,shorts,spring,3.06
P3920,Spring Leather Jacket,jacket,spring,3.06
P3918,Beige Linen Leggings,leggings,spring,3.06
P3892,Women Wool Heels,heels,spring,3.06
P3875,Printed Vintage Windbreaker,windbreaker,spring,3.06
P3872,Mid-rise High-waisted Slides,slides,spring,3.06
P3861,Spring Summer Romper,romper,spring,3.06
P4144,Trendy Leather Boots,boots,spring,3.06
P3842,Trendy Unisex Dress,dress,spring,3.06
P3835,Low-rise Spring Loafer,loafer,spring,3.06
P3789,Wool Floral Skirt,skirt,spring,3.06
P3787,Navy Fitted Trench Coat,trench coat,spring,3.06
P4089,Mid-rise Unisex Shirt,shirt,spring,3.06
P4080,White Navy Shirt,shirt,spring,3.06
P4072,Tall Solid Parka,parka,spring,3.06
P4068,Striped Striped Boots,boots,spring,3.06
P4064,Spring Winter Blouse,blouse,spring,3.06
P4029,Linen Tall Hoodie,hoodie,spring,3.06
P4019,New Spring Pullover,pullover,spring,3.06
P4012,Linen Spring Romper,romper,spring,3.06
P4007,Fitted Denim Sandals,sandals,spring,3.06
P4006,Spring Printed T-shirt,t-shirt,spring,3.06
P4000,Plus Size Spring Crop Top,crop top,spring,3.06
P4295,Spring New Windbreaker,windbreaker,spring,3.06
P3992,Spring Beige Cardigan,cardigan,spring,3.06
P3987,Olive Wool Pullover,pullover,spring,3.06
P3969,Spring White Slides,slides,spring,3.06
P3968,Denim High-waisted Flats,flats,spring,3.06
P4242,Winter Organic Trench Coat,trench coat,spring,3.06
P4230,Loose Cotton Romper,romper,spring,3.06
P4215,Unisex Vintage Jumpsuit,jumpsuit,spring,3.06
P4211,Wool Mid-rise Boots,boots,spring,3.06
P4209,Fall Loose Shirt,shirt,spring,3.06
P4208,Plaid Cropped Coat,coat,spring,3.06
P4180,Unisex Women Loafer,loafer,spring,3.06
P4178,Wool Denim Windbreaker,windbreaker,spring,3.06
P4165,Spring Printed Sneakers,sneakers,spring,3.06
P4161,Spring Winter Dress,dress,spring,3.06
P4157,Petite Fitted Skirt,skirt,spring,3.06
P4408,Spring Spring Windbreaker,windbreaker,spring,3.06
P4141,Spring Loose Skirt,skirt,spring,3.06
P4136,Spring Linen Tank Top,tank top,spring,3.06
P4126,High-waisted Petite Shirt,shirt,spring,3.06
P4092,Linen Black Heels,heels,spring,3.06
P4358,Longline Spring Cardigan,cardigan,spring,3.06
